Date Scraped,Type,LocalAirport,Origin/Destination,Airline,Status,Expected,Actual,Delay
07-11-24 23:55,Departures,Basel,Istanbul Sabiha G̦kcen,Pegasus Airlines,Departed,2000-01-01 16:46:00,2000-01-01 16:46:00,0.0
07-11-24 23:55,Departures,Basel,Lisbon,easyJet,Departed,2000-01-01 16:50:00,2000-01-01 17:21:00,31.0
07-11-24 23:55,Departures,Basel,Toulouse,easyJet,Departed,2000-01-01 17:06:00,2000-01-01 17:06:00,0.0
07-11-24 23:55,Departures,Basel,Munich,Lufthansa,Departed,2000-01-01 17:05:00,2000-01-01 17:23:00,18.0
07-11-24 23:55,Departures,Basel,Cluj,Wizz Air,Departed,2000-01-01 17:08:00,2000-01-01 17:08:00,0.0
07-11-24 23:55,Departures,Basel,Malta,easyJet,Departed,2000-01-01 17:15:00,2000-01-01 17:15:00,0.0
07-11-24 23:55,Departures,Basel,Cologne Bonn,FedEx,Departed,2000-01-01 17:28:00,2000-01-01 17:28:00,0.0
07-11-24 23:55,Departures,Basel,Madrid,easyJet,Departed,2000-01-01 17:43:00,2000-01-01 17:43:00,0.0
07-11-24 23:55,Departures,Basel,Amsterdam,KLM,Departed,2000-01-01 18:20:00,2000-01-01 18:20:00,0.0
07-11-24 23:55,Departures,Basel,Istanbul,Turkish Airlines,Departed,2000-01-01 18:15:00,2000-01-01 18:28:00,13.0
07-11-24 23:55,Departures,Basel,Frankfurt,Lufthansa,Departed,2000-01-01 19:04:00,2000-01-01 19:04:00,0.0
07-11-24 23:55,Departures,Basel,Berlin,easyJet,Departed,2000-01-01 19:13:00,2000-01-01 19:13:00,0.0
07-11-24 23:55,Departures,Basel,Budapest,easyJet,Departed,2000-01-01 19:10:00,2000-01-01 19:10:00,0.0
07-11-24 23:55,Departures,Basel,Hamburg,easyJet,Departed,2000-01-01 19:32:00,2000-01-01 19:32:00,0.0
07-11-24 23:55,Departures,Basel,London Heathrow,British Airways,Departed,2000-01-01 19:39:00,2000-01-01 19:39:00,0.0
07-11-24 23:55,Departures,Basel,Vienna,Austrian Airlines,Departed,2000-01-01 20:39:00,2000-01-01 20:39:00,0.0
07-11-24 23:55,Departures,Basel,Pristina,GP Aviation,Departed,2000-01-01 20:37:00,2000-01-01 20:37:00,0.0
07-11-24 23:55,Departures,Basel,Hanover,Netjets,Departed,2000-01-01 20:23:00,2000-01-01 20:23:00,0.0
07-11-24 23:55,Departures,Basel,Barcelona,easyJet,Departed,2000-01-01 21:15:00,2000-01-01 21:15:00,0.0
07-11-24 23:55,Departures,Basel,London Gatwick,easyJet,Departed,2000-01-01 21:25:00,2000-01-01 21:25:00,0.0
07-11-24 23:55,Departures,Basel,Manchester,easyJet,Departed,2000-01-01 22:00:00,2000-01-01 22:00:00,0.0
07-11-24 23:55,Departures,Basel,Porto,easyJet,Departed,2000-01-01 21:59:00,2000-01-01 21:59:00,0.0
07-11-24 23:55,Departures,Basel,Cologne Bonn,Sprintair,Departed,2000-01-01 22:11:00,2000-01-01 22:11:00,0.0
07-11-24 23:55,Departures,Basel,Cologne Bonn,European Air Transport / DHL,Departed,2000-01-01 22:32:00,2000-01-01 22:32:00,0.0
